response_dt,PFL_FLEET_TYP_CD,gts_12,gts_13,gts_14,gts_15,comped_med,natural_med,never_comped,lapsed_med,Lesiure_tkts_yr1,Business_tkts_yr1,total_ap_yr1,int_tkts_yr1,dom_tkts_yr1,dl_miles_flown_yr1,F_tkts_yr1,F_tkt_rev_yr1,F_miles_flown_yr1,C_tkts_yr1,C_tkt_rev_yr1,C_miles_flown_yr1,Y_tkts_yr1,Y_tkt_rev_yr1,Y_miles_flown_yr1,F_upsell_tkts_yr1,F_upsell_tkt_rev_yr1,F_upsell_miles_flown_yr1,total_tkts_yr1,total_tkt_rev_yr1,dist_partners,tenure,DSC_Entries,hhi,gts_1,dl_segs_yr1,dl_seg_rev_yr1,total_miles_flown_yr1
25-Jun-14,CR7,,,,,0,1,1,0,31,27,370,4,54,87721,53,25307,47364,4,12112,39627,1,586,730,40,19903,35604,58,38005,1,24,56,77,,74,38005,87721
26-Apr-14,757,4,3,,,0,1,1,0,36,22,309,0,58,51358,31,24489,24525,0,0,0,27,13485,26833,11,16314,8542,58,37974,1,7,0,129,4,114,37974,51358
20-Feb-14,320,5,4,,,0,1,1,0,39,14,1456,0,53,79151,43,30849,63755,0,0,0,10,7105,15396,9,5818,14943,53,37954,5,30,34,250,3,107,37954,79151
16-Jul-14,739,5,4,,,0,1,1,0,72,6,753,5,73,66067,53,23872,41601,3,5813,11706,22,8168,19614,30,12254,22423,78,37853,1,7,9,94,5,95,35335,72921
29-Nov-14,738,5,5,,,0,1,1,0,73,6,150,0,79,74639,63,31167,57561,4,1551,6239,12,5108,10839,0,0,0,79,37827,5,4,48,134,5,148,37827,74639
18-Oct-14,MD8,5,5,,,0,1,1,0,76,3,862,2,77,121324,64,29156,91316,7,5157,21168,8,3497,8840,15,8776,27429,79,37811,4,19,141,134,5,191,37811,121324
19-Aug-14,M90,5,5,,,0,1,1,0,29,18,162,2,45,104448,22,12056,29684,11,14899,42241,14,10793,41213,0,0,0,47,37748,2,24,29,132,5,60,34089,113138
1-Sep-14,77L,3,,,,0,1,1,0,12,15,566,4,23,79659,13,7784,22799,3,24892,36641,11,5000,23174,6,5393,15528,27,37676,4,27,29,141,2,50,34952,82614
15-Sep-14,E70,5,5,,,0,1,1,0,34,7,840,4,37,86495,18,6676,22427,4,22809,28216,19,8126,40307,2,1942,5000,41,37611,2,13,20,71,5,74,32464,90950
4-Apr-14,757,4,4,,,0,1,1,0,22,16,781,9,29,87184,17,6826,29508,7,24120,44064,14,6664,15748,0,0,0,38,37610,2,31,100,95,5,117,34815,89320
15-Sep-14,717,4,2,,,0,1,1,0,15,21,296,12,24,66922,6,4411,8571,7,11794,18179,23,21359,43250,0,0,0,36,37565,2,23,43,234,2,63,35865,70000
14-Jan-14,CR7,,,,,0,1,1,0,14,31,368,0,45,120628,25,19915,56330,4,2619,15799,16,14873,51368,0,0,0,45,37407,0,5,58,244,4,87,36836,123497
25-May-14,763,5,4,,,0,1,1,0,31,2,636,1,32,96182,23,20148,59451,5,14475,26617,5,2763,10469,14,15178,44910,33,37386,6,12,26,59,4,74,37328,96537
26-Nov-14,717,5,5,,,0,1,1,0,47,22,871,3,66,85810,50,16912,34098,7,14154,32577,12,6313,29252,1,392,404,69,37379,2,30,26,189,5,96,35338,95927
8-Feb-14,M90,4,4,,,0,1,1,0,38,11,1343,10,39,128315,33,12384,55366,6,19497,47073,10,5496,28287,2,994,3694,49,37377,6,12,53,250,4,175,35447,130726
3-Feb-14,76L,4,4,,,0,1,1,0,23,12,101,15,20,74289,13,4626,5501,14,28740,57058,8,3960,19320,0,0,0,35,37326,3,12,20,235,5,42,31173,81879
22-Sep-14,333,4,5,,,0,1,1,0,16,3,215,14,5,43855,3,1597,2908,11,32845,43227,5,2871,12807,0,0,0,19,37313,0,29,10,71,4,34,24436,58942
19-Jan-14,763,1,3,,,0,1,1,0,76,0,354,0,76,113836,72,35462,108829,1,565,2354,3,1262,3382,54,25861,84917,76,37288,2,21,96,134,3,141,37138,114565
12-May-14,757,5,4,,,0,1,0,0,12,0,290,12,0,71090,0,0,0,11,36283,78481,1,1001,6404,0,0,0,12,37284,2,21,17,,4,26,29585,84885
3-Nov-14,M90,2,2,,,0,1,1,0,15,9,249,14,10,145481,5,3334,4760,2,3207,9866,17,30718,144832,0,0,0,24,37259,2,9,25,14,3,46,31457,159458
9-Jan-14,738,5,5,,,0,1,1,0,9,0,234,6,3,38435,3,1413,8568,6,35833,77686,0,0,0,0,0,0,9,37246,0,8,5,103,5,23,18113,86254
22-Dec-14,MD8,4,4,,,0,1,1,0,20,6,291,7,19,74818,5,2863,10226,6,26140,35096,15,8218,31748,1,936,2768,26,37221,1,20,4,79,3,76,35153,77070
13-Jan-14,CR9,5,5,,,0,1,0,0,12,22,154,0,34,54463,29,30927,47653,0,0,0,5,6188,6810,15,17759,27396,34,37114,4,28,42,250,5,64,37114,54463
12-Dec-14,739,5,4,,,0,1,1,0,19,24,511,3,40,89335,28,22107,52361,3,8827,19804,12,6156,17170,12,10531,33167,43,37089,1,26,14,30,,75,37089,89335
26-Apr-14,757,5,3,,,0,1,1,0,20,7,775,10,17,110066,14,7689,31940,6,22800,56544,7,6575,22595,1,1356,4182,27,37064,4,26,61,187,4,79,36618,111079
22-Sep-14,717,5,4,,,0,1,1,0,38,16,538,0,54,107811,47,33602,100360,2,1455,2648,5,1931,5346,31,24874,73838,54,36988,1,32,153,102,4,126,36932,108354
13-Jul-14,E75,4,,,,0,1,0,0,8,8,583,3,13,49025,4,2247,3619,3,30186,30822,9,4552,14584,1,893,1000,16,36985,4,14,0,54,5,30,36985,49025
12-Nov-14,MD8,3,4,,,0,1,1,0,19,13,286,2,30,53499,23,16113,32662,8,20449,29001,1,418,1052,16,11227,24566,32,36979,3,28,40,231,4,63,28201,62715
21-Dec-14,757,4,4,,,0,1,1,0,15,3,342,9,9,109761,7,5615,13398,7,26624,84661,4,4709,21824,0,0,0,18,36949,3,29,27,23,4,70,33702,119883
13-Jan-14,76G,4,3,,,0,1,1,0,9,0,343,9,0,80859,0,0,0,4,19440,41276,5,17461,42634,0,0,0,9,36902,0,19,4,17,3,24,35646,83910
24-Apr-14,738,3,2,,,0,1,1,0,12,15,348,4,23,100662,16,14727,49793,3,17999,22523,8,4138,28956,4,4811,15728,27,36864,3,21,46,197,4,61,36731,101272
16-Nov-14,757,4,4,,,0,1,0,0,18,8,309,8,18,92889,8,5283,14221,2,17616,19815,16,13953,69293,0,0,0,26,36853,3,27,10,43,4,84,33457,103329
21-Jun-14,717,5,,,,0,1,1,0,3,46,627,1,48,193888,41,27925,153123,2,4777,16806,6,4148,23959,2,1493,8216,49,36850,3,29,102,28,4,192,36850,193888
26-Apr-14,CR7,5,4,,,0,1,0,0,9,0,756,7,2,101027,1,352,860,6,33475,90551,2,2972,9616,0,0,0,9,36798,3,14,27,59,5,37,36798,101027
22-Jun-14,CR9,5,5,,,0,1,1,0,16,24,262,0,40,97539,18,17305,48322,1,1076,2514,21,18391,47714,0,0,0,40,36772,0,4,0,98,5,148,36594,98550
30-Jan-14,757,4,5,,,0,1,1,0,11,1,494,6,6,58154,1,343,2248,5,32261,45812,6,4112,30315,0,0,0,12,36717,5,24,11,128,4,22,23471,78375
7-Dec-14,738,4,3,,,0,1,0,0,12,13,189,4,21,106201,17,16023,67357,5,19128,32806,3,1505,10579,11,11176,47161,25,36656,0,19,57,171,3,78,32779,110742
18-Jan-14,MD8,5,,,,0,1,1,0,28,38,515,0,66,75517,55,31272,61998,1,425,546,10,4864,12973,11,7913,20238,66,36561,5,26,43,250,5,104,36561,75517
28-May-14,M90,4,3,,,1,0,0,0,5,2,229,3,4,44917,4,3007,6463,3,33545,38454,0,0,0,3,2053,4543,7,36552,3,32,16,250,4,20,36552,44917
20-Mar-14,M90,2,3,0,,0,1,1,0,28,13,147,1,40,48347,8,5549,7440,2,11348,10756,31,19642,35038,7,5125,6696,41,36538,1,25,0,133,2,63,29966,53234
12-Dec-14,764,4,4,,,0,1,1,0,13,6,548,9,10,87846,8,3208,13443,10,32765,81653,1,540,456,1,711,1913,19,36513,4,17,15,137,3,31,33275,95552
4-Oct-14,MD8,5,5,,,0,1,1,0,28,8,510,2,34,99897,26,18949,71966,2,14204,28100,8,3320,22197,8,6623,15799,36,36473,6,28,34,32,5,142,25810,122263
14-May-14,76L,4,5,,,0,1,1,0,6,1,122,5,2,34110,0,0,0,5,36219,59414,2,226,812,0,0,0,7,36445,1,21,5,50,4,10,20424,60226
25-Oct-14,M90,5,5,,,0,1,1,0,71,16,1104,1,86,80841,45,18491,43355,1,682,4076,41,17227,33758,0,0,0,87,36400,1,26,69,130,5,179,36038,81189
9-Dec-14,ERJ,4,4,,,0,1,0,0,6,0,175,6,0,71956,0,0,0,5,35481,69102,1,914,10640,0,0,0,6,36394,2,10,10,127,4,17,35184,79742
18-Aug-14,739,4,3,,,0,1,1,0,13,8,231,6,15,55788,11,7485,20307,6,25491,36073,4,3413,8506,1,1356,1478,21,36389,4,17,18,37,4,36,29426,64886
