WinPct,PER,Ts_pct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
0.691,21.9,0.563,4.8,21.7,13.3,19.4,1.3,4.2,12.5,4.8,3.9,8.7,0.184,1.3,3.3,4.7,3.8
0.691,19.2,0.562,1.6,9.7,5.7,28.1,2.2,0.4,13.5,3.8,2.2,6,0.152,3.5,-0.5,2.9,2.4
0.691,10.4,0.451,2.8,10.5,6.7,11.7,2.1,1.1,8.8,-0.3,1.1,0.8,0.046,-0.8,-0.7,-1.5,0.1
0.691,13.3,0.463,2.2,11.4,6.8,28.2,4.3,0.5,18.6,-0.2,1.2,0.9,0.07,-1.7,1.7,-0.1,0.3
0.691,14.5,0.526,7.1,11.3,9.2,8.2,4.1,1.5,14.4,0.8,2.8,3.6,0.116,-0.4,3.5,3,1.9
0.691,10.7,0.518,1.5,7.5,4.5,8.1,3.8,2.7,17.2,-0.1,0.3,0.2,0.059,-2.9,1.9,-1,0
0.463,26.4,0.616,16.6,36.2,26.6,0.9,1.2,9.5,11.5,2.2,1.8,4,0.223,-1.9,0.6,-1.3,0.1
0.463,7.1,0.455,0.4,15.7,8.2,6.5,2.1,1.1,9.5,-0.2,0.3,0.1,0.012,-1.9,-0.8,-2.7,-0.1
0.463,22.7,0.543,3.7,10.4,7.1,35.3,2.1,0.9,14.4,2.4,1.1,3.5,0.108,3.4,-0.9,2.4,1.7
0.463,9.4,0.521,2.1,11.4,6.9,19.8,2.1,0.3,24.6,-0.3,0.7,0.5,0.023,-1.9,-0.6,-2.5,-0.1
0.463,10.2,0.613,2.9,15.3,9.3,17.6,2.1,0.9,27.3,0.1,0.3,0.4,0.069,-1.6,0.6,-1.1,0.1
0.463,14.3,0.579,2.4,11.2,6.9,12.2,2.6,1.2,15.3,0.4,0.3,0.7,0.092,-0.5,-0.1,-0.7,0.1
0.463,10.1,0.476,8.1,22.5,15.4,7.6,1,1.1,11.7,0.3,0.6,0.9,0.063,-3.6,-0.2,-3.9,-0.3
