Rk,Player,Pos,Age,Team,WinPct,G,GS,Mpg,MP,PER,TSpct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,BLK,TOV,PF,PTS,3PA,3P,FTA
275,Iman Shumpert,SG,23,NYK,0.451,74,58,26.5,1961,9.6,0.48,4.7,14,9.2,9.8,2.5,0.6,13.3,0.4,1.6,2,0.048,-0.8,0.7,-0.1,0.9,0.2,1.1,2.8,6.7,3.1,0.333,1
276,Pablo Prigioni,PG,36,NYK,0.451,66,27,19.4,1280.4,13,0.642,3.2,8.8,5.9,25.6,2.8,0.1,23.4,2.5,0.9,3.4,0.127,1.5,-0.9,0.6,0.8,0,0.9,2,3.8,2.1,0.464,0.2
277,Toure' Murry,PG,24,NYK,0.451,51,0,7.3,372.3,11.1,0.479,4,10.1,6.9,21.5,2.7,0.2,18.9,-0.3,0.3,0,0.002,-3.4,-1.6,-4.9,-0.3,0,0.7,0.9,2.7,0.2,0.417,0.8
278,Kenyon Martin,PF,36,NYK,0.451,32,15,19.8,633.6,12.2,0.521,6.5,18.7,12.5,11.9,2.1,3.8,16.5,0.5,0.7,1.2,0.09,-2,3.1,1.1,0.5,0.8,0.8,2.7,4.3,0,0,0.6
279,Tim Hardaway,SG,21,NYK,0.451,81,1,23.1,1871.1,12.7,0.554,1.2,6.6,3.8,5.8,1.2,0.3,5.9,2.7,0.4,3.1,0.08,1.3,-3.5,-2.3,-0.1,0.1,0.6,1.8,10.2,4.4,0.363,1.6
280,Raymond Felton,PG,29,NYK,0.451,65,65,31,2015,12.9,0.476,3.1,8.6,5.7,28.1,2.1,1.2,16.3,1.1,1.1,2.2,0.053,-0.1,-0.8,-0.9,0.5,0.4,2,2.4,9.7,3,0.318,1.9
281,Tyson Chandler,C,31,NYK,0.451,55,55,30.2,1661,16.4,0.615,10.9,27,18.7,5.5,1.2,3.4,15.4,3.1,1.9,4.9,0.143,-0.6,1.8,1.3,1.4,1.1,1.3,2.6,8.7,0,0,2.8
282,Andrea Bargnani,C,28,NYK,0.451,42,39,29.9,1255.8,14.5,0.51,6.3,14.7,10.4,6.1,0.6,3.7,9.6,0.8,0.7,1.5,0.058,-1.4,-1,-2.4,-0.1,1.2,1.4,2.4,13.3,2.6,0.278,2.4
283,Carmelo Anthony,PF,29,NYK,0.451,77,77,38.7,2979.9,24.4,0.561,5.6,19.4,12.3,15.8,1.7,1.5,9.5,8.1,2.5,10.7,0.172,4.6,-1,3.6,4.2,0.7,2.6,2.9,27.4,5.4,0.402,7
284,Cole Aldrich,C,25,NYK,0.451,46,2,7.2,331.2,19.1,0.62,12.8,33.8,23,6.4,1.3,8.1,19.5,0.6,0.6,1.2,0.178,-2.6,3.8,1.2,0.3,0.7,0.4,0.9,2,0,,0.7
